Date,ETH,SPY,AGG,GLD,DXY,VIX,Regime
2018-01-03,,,,,,,Neutral
2018-01-04,,,,,,,Neutral
2018-01-05,,,,,,,Neutral
2018-01-06,,,,,,,Neutral
2018-01-07,,,,,,,Neutral
2018-01-08,,,,,,,Neutral
2018-01-09,,,,,,,Neutral
2018-01-10,,,,,,,Neutral
2018-01-11,,,,,,,Neutral
2018-01-12,,,,,,,Neutral
2018-01-13,,,,,,,Neutral
2018-01-14,,,,,,,Neutral
2018-01-15,,,,,,,Neutral
2018-01-16,,,,,,,Neutral
2018-01-17,,,,,,,Neutral
2018-01-18,,,,,,,Neutral
2018-01-19,,,,,,,Neutral
2018-01-20,,,,,,,Neutral
2018-01-21,,,,,,,Neutral
2018-01-22,,,,,,,Neutral
2018-01-23,,,,,,,Neutral
2018-01-24,,,,,,,Neutral
2018-01-25,,,,,,,Neutral
2018-01-26,,,,,,,Neutral
2018-01-27,,,,,,,Neutral
2018-01-28,,,,,,,Neutral
2018-01-29,,,,,,,Neutral
2018-01-30,,,,,,,Neutral
2018-01-31,,,,,,,Neutral
2018-02-01,,,,,,,Neutral
2018-02-02,,,,,,,Neutral
2018-02-03,,,,,,,Neutral
2018-02-04,,,,,,,Neutral
2018-02-05,,,,,,,Risk-Off
2018-02-06,,,,,,,Risk-Off
2018-02-07,,,,,,,Risk-Off
2018-02-08,,,,,,,Risk-Off
2018-02-09,,,,,,,Risk-Off
2018-02-10,,,,,,,Risk-Off
2018-02-11,,,,,,,Risk-Off
2018-02-12,,,,,,,Risk-Off
2018-02-13,,,,,,,Neutral
2018-02-14,,,,,,,Neutral
2018-02-15,,,,,,,Neutral
2018-02-16,,,,,,,Neutral
2018-02-17,,,,,,,Neutral
2018-02-18,,,,,,,Neutral
2018-02-19,,,,,,,Neutral
2018-02-20,,,,,,,Neutral
2018-02-21,,,,,,,Neutral
2018-02-22,,,,,,,Neutral
2018-02-23,,,,,,,Neutral
2018-02-24,,,,,,,Neutral
2018-02-25,,,,,,,Neutral
2018-02-26,,,,,,,Risk-On
2018-02-27,,,,,,,Neutral
2018-02-28,,,,,,,Neutral
2018-03-01,,,,,,,Neutral
2018-03-02,,,,,,,Neutral
2018-03-03,,,,,,,Neutral
2018-03-04,,,,,,,Neutral
2018-03-05,,,,,,,Neutral
2018-03-06,,,,,,,Neutral
2018-03-07,,,,,,,Neutral
2018-03-08,,,,,,,Neutral
2018-03-09,,,,,,,Neutral
2018-03-10,,,,,,,Neutral
2018-03-11,,,,,,,Neutral
2018-03-12,,,,,,,Neutral
2018-03-13,,,,,,,Neutral
2018-03-14,,,,,,,Neutral
2018-03-15,,,,,,,Neutral
2018-03-16,,,,,,,Neutral
2018-03-17,,,,,,,Neutral
2018-03-18,,,,,,,Neutral
2018-03-19,,,,,,,Neutral
2018-03-20,,,,,,,Neutral
2018-03-21,,,,,,,Neutral
2018-03-22,,,,,,,Neutral
2018-03-23,,,,,,,Neutral
2018-03-24,,,,,,,Neutral
2018-03-25,,,,,,,Neutral
2018-03-26,,,,,,,Neutral
2018-03-27,,,,,,,Neutral
2018-03-28,,,,,,,Neutral
2018-03-29,,,,,,,Neutral
2018-03-30,,,,,,,Neutral
2018-03-31,,,,,,,Neutral
2018-04-01,,,,,,,Neutral
2018-04-02,,,,,,,Neutral
2018-04-03,,,,,,,Neutral
2018-04-04,,,,,,,Neutral
2018-04-05,,,,,,,Neutral
2018-04-06,,,,,,,Neutral
2018-04-07,,,,,,,Neutral
2018-04-08,,,,,,,Neutral
2018-04-09,,,,,,,Neutral
2018-04-10,,,,,,,Neutral
2018-04-11,,,,,,,Neutral
2018-04-12,,,,,,,Neutral
2018-04-13,,,,,,,Neutral
2018-04-14,,,,,,,Neutral
2018-04-15,,,,,,,Neutral
